Sample	type	Reference_name	Reference_fasta	Reference_gbk	batch	barcode	hac_reads	hac_contigs	sup_reads	sup_contigs Annot_db
K500-2	bacterial	K500	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K500.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K500.gbk	SHM_20260217	barcode13	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_13.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_13.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_13.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_13.fastq.gz
K506-1	bacterial	K506	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K506.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K506.gbk	EBKMDS_20260206	barcode32	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_32.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_32.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_32.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_32.fastq.gz
K507-1	bacterial	K507	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K507.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K507.gbk	SHM_20260217	barcode33	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_33.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_33.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_33.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_33.fastq.gz
K508-2	bacterial	K508	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K508.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K508.gbk	SHM_20260217	barcode04	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_04.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_04.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_04.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_04.fastq.gz
K508-5	bacterial	K508	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K508.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K508.gbk	EBKMDS_20260206	barcode45	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_45.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_45.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_45.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_45.fastq.gz
K510-1	bacterial	K510	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K510.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K510.gbk	SHM_20260217	barcode19	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_19.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_19.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_19.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_19.fastq.gz
K558-1	bacterial	K558	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K558.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K558.gbk	SHM_20260217	barcode28	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_28.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_28.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_28.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_28.fastq.gz
K558-3	bacterial	K558	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K558.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K558.gbk	SHM_20260217	barcode27	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_27.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_27.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_27.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_27.fastq.gz
K562-2	bacterial	K562	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K562.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K562.gbk	SHM_20260217	barcode30	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_30.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_30.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_30.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_30.fastq.gz
K562-3	bacterial	K562	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K562.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K562.gbk	SHM_20260217	barcode26	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_26.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_26.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_26.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_26.fastq.gz
K621-1	bacterial	K621	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K621.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K621.gbk	EBKMDS_20260206	barcode34	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_34.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_34.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_34.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_34.fastq.gz
K621-9	bacterial	K621	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K621.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K621.gbk	EBKMDS_20260206	barcode37	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_37.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_37.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_37.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_37.fastq.gz
